date,media_key,media_name,platform,placement_id,placement_name,placement_type,thirdparty_id,thirdparty_name,report_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-04-16,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,0,Adpopcorn SSP,1,2323,825,551,117,3.341298,23.72,21.23,6.0641
2026-04-16,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,16,Fyber,4,32,0,3,1,0.003000,9.38,33.33,1.0000
2026-04-16,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,34,ID 34,4,1303,1303,852,65,2.073117,65.39,7.63,2.4332
2026-04-16,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,18,Pangle,4,38,36,10,0,0.010000,26.32,0.00,1.0000
2026-04-16,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,0,Adpopcorn SSP,1,188,103,23,3,0.133839,12.23,13.04,5.8191
2026-04-16,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,16,Fyber,4,1,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-16,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,34,ID 34,4,124,124,79,1,0.687377,63.71,1.27,8.7010
2026-04-16,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,0,Adpopcorn SSP,1,2077,1153,483,42,0.998754,23.25,8.70,2.0678
2026-04-16,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,21,AppLovin WF,4,0,0,116,64,0.120000,0.00,55.17,1.0345
2026-04-16,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,16,Fyber,4,1798,0,193,38,0.193000,10.73,19.69,1.0000
2026-04-16,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,18,Pangle,4,352,223,148,28,0.070000,42.05,18.92,0.4730
2026-04-16,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,14,Vungle,4,0,0,75,23,0.043438,0.00,30.67,0.5792
2026-04-16,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,0,Adpopcorn SSP,1,130,107,21,1,0.024249,16.15,4.76,1.1547
2026-04-16,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,21,AppLovin WF,4,0,0,13,13,0.010000,0.00,100.00,0.7692
2026-04-16,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,16,Fyber,4,96,0,23,15,0.023000,23.96,65.22,1.0000
2026-04-16,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,18,Pangle,4,14,9,6,0,0.000000,42.86,0.00,0.0000
2026-04-16,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,0,Adpopcorn SSP,1,1954,766,406,119,2.435340,20.78,29.31,5.9984
2026-04-16,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,21,AppLovin WF,4,0,0,1,0,0.000000,0.00,0.00,0.0000
2026-04-16,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,16,Fyber,4,13,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-16,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,34,ID 34,4,1061,1061,547,50,1.055339,51.56,9.14,1.9293
2026-04-16,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,18,Pangle,4,13,12,3,0,0.000000,23.08,0.00,0.0000
