date,placement_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-04-16,RV,13785,6726,4039,678,12.744653,29.3000,16.7863,3.1554
2026-04-16,배너,6735,4365,4336,7,0.360254,64.3801,0.1614,0.0831
2026-04-16,전면,27919,8656,7125,2289,12.258080,25.5203,32.1263,1.7204
2026-04-17,RV,10624,5829,3526,476,12.505827,33.1890,13.4997,3.5467
2026-04-17,배너,7641,5979,5928,7,0.310221,77.5815,0.1181,0.0523
2026-04-17,전면,22085,10017,7279,945,13.432805,32.9590,12.9826,1.8454
2026-04-18,RV,10755,6168,3580,511,11.498610,33.2868,14.2737,3.2119
2026-04-18,배너,7262,5765,5742,3,0.276928,79.0691,0.0522,0.0482
2026-04-18,전면,19195,10553,7273,946,14.961915,37.8901,13.0070,2.0572
2026-04-19,RV,9781,5684,3404,545,12.392221,34.8022,16.0106,3.6405
2026-04-19,배너,6765,4320,4291,4,0.238881,63.4294,0.0932,0.0557
2026-04-19,전면,18438,10286,7406,1150,16.232820,40.1670,15.5280,2.1918
2026-04-20,RV,12322,5721,3347,452,9.077825,27.1628,13.5046,2.7122
2026-04-20,배너,6285,3781,3643,1,0.237850,57.9634,0.0274,0.0653
2026-04-20,전면,25201,10174,7561,1292,16.180309,30.0028,17.0877,2.1400
2026-04-21,RV,17215,5190,3481,695,10.195554,20.2207,19.9655,2.9289
2026-04-21,배너,6065,3652,3623,3,0.236069,59.7362,0.0828,0.0652
2026-04-21,전면,36737,9450,7557,1429,16.968677,20.5705,18.9096,2.2454
2026-04-22,RV,18913,5722,3636,668,10.332849,19.2249,18.3718,2.8418
2026-04-22,배너,6468,3835,3800,4,0.249530,58.7508,0.1053,0.0657
2026-04-22,전면,36101,10232,7767,1220,17.941882,21.5146,15.7075,2.3100
2026-04-23,RV,18268,5948,3706,644,12.609074,20.2868,17.3772,3.4023
2026-04-23,배너,6567,3957,3924,4,0.259189,59.7533,0.1019,0.0661
2026-04-23,전면,35239,10681,7947,1170,18.115959,22.5517,14.7225,2.2796
2026-04-24,RV,20829,5678,3614,642,11.850982,17.3508,17.7643,3.2792
2026-04-24,배너,6508,3776,3744,3,0.244619,57.5292,0.0801,0.0653
2026-04-24,전면,47947,10669,7798,1102,18.122172,16.2638,14.1318,2.3240
2026-04-25,RV,23923,5915,3698,641,11.853008,15.4579,17.3337,3.2052
2026-04-25,배너,6590,3720,3694,4,0.255982,56.0546,0.1083,0.0693
2026-04-25,전면,52429,10780,8072,1050,19.926857,15.3961,13.0079,2.4686
2026-04-26,RV,22636,5723,3561,612,12.138921,15.7316,17.1862,3.4089
2026-04-26,배너,7060,5059,5025,1,0.310916,71.1756,0.0199,0.0619
2026-04-26,전면,49256,10888,8193,1180,19.702586,16.6335,14.4025,2.4048
2026-04-27,RV,28816,6043,3747,653,11.635069,13.0032,17.4273,3.1052
2026-04-27,배너,6994,4694,4654,5,0.242130,66.5428,0.1074,0.0520
2026-04-27,전면,62393,10444,8077,1289,18.245654,12.9454,15.9589,2.2590
2026-04-28,RV,31101,5777,3527,611,11.110830,11.3405,17.3235,3.1502
2026-04-28,배너,6367,3605,3575,0,0.195839,56.1489,0.0000,0.0548
2026-04-28,전면,68989,10074,7975,1435,16.810347,11.5598,17.9937,2.1079
2026-04-29,RV,31794,5559,3513,681,10.228478,11.0493,19.3851,2.9116
2026-04-29,배너,6447,3856,3816,0,0.198227,59.1903,0.0000,0.0519
2026-04-29,전면,82450,9926,8045,1424,16.032246,9.7574,17.7004,1.9928
2026-04-30,RV,29443,5293,3286,528,9.992946,11.1605,16.0682,3.0411
2026-04-30,배너,6350,4192,4154,3,0.171506,65.4173,0.0722,0.0413
2026-04-30,전면,82479,9349,7400,1335,14.601852,8.9720,18.0405,1.9732
2026-05-01,RV,30578,5519,3400,518,9.695881,11.1191,15.2353,2.8517
2026-05-01,배너,6186,3480,3462,3,0.175376,55.9651,0.0867,0.0507
2026-05-01,전면,81220,9502,7770,1396,16.241773,9.5666,17.9665,2.0903
2026-05-02,RV,30567,5529,3376,541,9.540639,11.0446,16.0249,2.8260
2026-05-02,배너,6193,3270,3251,2,0.145767,52.4948,0.0615,0.0448
2026-05-02,전면,80457,9400,7569,1429,15.221044,9.4075,18.8796,2.0110
2026-05-03,RV,30702,5581,3422,577,9.697134,11.1459,16.8615,2.8338
2026-05-03,배너,6102,3070,3047,1,0.122509,49.9344,0.0328,0.0402
2026-05-03,전면,82583,9531,7827,1427,15.927482,9.4777,18.2318,2.0349
2026-05-04,RV,30523,5337,3302,562,8.899266,10.8181,17.0200,2.6951
2026-05-04,배너,5874,3305,3290,1,0.132240,56.0095,0.0304,0.0402
2026-05-04,전면,75757,9367,7631,1304,15.092445,10.0730,17.0882,1.9778
2026-05-05,RV,29064,5506,3338,522,9.410034,11.4850,15.6381,2.8191
2026-05-05,배너,6250,3666,3630,1,0.148727,58.0800,0.0275,0.0410
2026-05-05,전면,81760,9421,7621,1208,14.690255,9.3212,15.8509,1.9276
