date,country,clicks,conversion_rate,revenue_per_click_usd,revenue_per_active_user_usd,active_users,complete_revenue_usd,complete_count,canceled_rate,canceled_revenue_usd,canceled_count,screenout_revenue_usd,screenout_count,rating_revenue_usd,rating_count,net_revenue_usd,source_timezone,source
2026-07-13,JP,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,CET,CPX publisher daily statistics
2026-07-13,KR,4,0.0,0.01,0.03,2,0.0,0,0.0,0.0,0,0.05,2,0.0,0,0.05,CET,CPX publisher daily statistics
2026-07-14,JP,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,CET,CPX publisher daily statistics
2026-07-14,KR,41,0.1,0.04,0.09,18,1.5,4,0.0,0.0,0,0.17,19,0.0,4,1.67,CET,CPX publisher daily statistics
2026-07-15,JP,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,CET,CPX publisher daily statistics
2026-07-15,KR,18,0.0,0.0,0.0,6,0.0,0,0.0,0.0,0,0.02,10,0.0,0,0.02,CET,CPX publisher daily statistics
2026-07-16,JP,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,CET,CPX publisher daily statistics
2026-07-16,KR,20,0.1,0.12,0.25,10,2.96,2,0.3333,0.57,1,0.07,8,0.0,3,2.46,CET,CPX publisher daily statistics
2026-07-17,JP,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,CET,CPX publisher daily statistics
2026-07-17,KR,35,0.0,0.01,0.03,12,0.0,0,0.0,0.0,0,0.41,25,0.0,0,0.41,CET,CPX publisher daily statistics
2026-07-18,JP,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,CET,CPX publisher daily statistics
2026-07-18,KR,35,0.06,0.1,0.21,17,3.36,2,0.0,0.0,0,0.23,18,0.0,2,3.59,CET,CPX publisher daily statistics
