date,country,transacting_users,rewarded_users,reward_events,reversal_events,points_awarded,points_deducted,net_points,gross_revenue_usd,reversed_revenue_usd,net_revenue_usd,source_timezone,source
2026-07-13,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-13,KR,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-14,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-14,KR,7,7,9,0,517,0,517,1.28,0.0,1.28,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-15,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-15,KR,3,3,4,0,173,0,173,0.46,0.0,0.46,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-16,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-16,KR,3,3,3,1,787,171,616,2.46,0.57,1.89,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-17,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-17,KR,5,5,16,0,410,0,410,0.41,0.0,0.41,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-18,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-18,KR,6,6,12,0,1208,0,1208,3.56,0.0,3.56,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-19,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-19,KR,3,3,5,0,711,0,711,2.16,0.0,2.16,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-20,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-20,KR,1,1,1,0,366,0,366,1.22,0.0,1.22,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-21,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-21,KR,8,8,14,0,944,0,944,2.47,0.0,2.47,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-22,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-22,KR,4,4,8,0,310,0,310,0.52,0.0,0.52,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-23,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-23,KR,4,4,4,0,240,0,240,0.59,0.0,0.59,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-24,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-24,KR,6,6,9,0,860,0,860,2.68,0.0,2.68,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-25,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-25,KR,5,4,7,1,332,333,-1,0.85,1.11,-0.26,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-26,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-26,KR,3,3,7,1,210,423,-213,0.21,1.41,-1.2,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-27,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-27,KR,2,2,7,0,347,0,347,1.04,0.0,1.04,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-28,JP,0,0,0,0,0,0,0,0.0,0.0,0.0,Asia/Seoul,Supabase cpx_research_history aggregate
2026-07-28,KR,5,5,7,0,584,0,584,1.69,0.0,1.69,Asia/Seoul,Supabase cpx_research_history aggregate
