date,country_code,currency_code,data_complete_through,supabase_status,adpopcorn_status,google_ads_status,offerwall_status,fx_status,active_users,signup_count,direct_signup_count,guest_created_count,guest_succession_count,guest_merge_count,actual_new_member_count,total_entry_account_count,new_participants_first_ad,reward_points_total,reward_events_total,withdrawal_count_total,withdrawal_points_total,giftcard_order_count_total,giftcard_point_amount_total,giftcard_purchase_amount_total,giftcard_sell_price_total,giftcard_margin_vs_point_total,supabase_ad_revenue_usd,supabase_ad_revenue_local,supabase_ad_event_count,referral_rewarded_customers,referral_reward_events,referral_reward_points_total,reward_points_egg,reward_events_egg,reward_points_card_game,reward_events_card_game,reward_points_vault_game,reward_events_vault_game,reward_points_bonus_cash,reward_events_bonus_cash,reward_points_check_in_mission,reward_events_check_in_mission,withdrawal_count_pending,withdrawal_points_pending,withdrawal_count_completed,withdrawal_points_completed,withdrawal_count_rejected,withdrawal_points_rejected,adpopcorn_revenue_usd,adpopcorn_revenue_local,adpopcorn_request_count,adpopcorn_response_count,adpopcorn_impression_count,adpopcorn_click_count,adpopcorn_fill_rate,adpopcorn_ecpm,adpopcorn_revenue_usd_rv,adpopcorn_revenue_local_rv,adpopcorn_impression_count_rv,adpopcorn_fill_rate_rv,adpopcorn_ecpm_rv,adpopcorn_revenue_usd_iv,adpopcorn_revenue_local_iv,adpopcorn_impression_count_iv,adpopcorn_fill_rate_iv,adpopcorn_ecpm_iv,adpopcorn_revenue_usd_banner,adpopcorn_revenue_local_banner,adpopcorn_impression_count_banner,adpopcorn_fill_rate_banner,adpopcorn_ecpm_banner,preferred_revenue_usd,preferred_revenue_local,google_ads_cost_local,google_ads_conversions,google_ads_impressions,google_ads_cpa_local,offerwall_cost_local,offerwall_attempt_count,offerwall_completion_count,offerwall_conversion_rate,offerwall_cost_per_completion_local,profit_local
2026-04-16,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,901,34,34,0,0,0,34,34,31,37802,11249,5,17000,5,12500,11850,12000,650,1.801225,2491,353,7,7,3300,22260,7214,4532,1065,6791,1625,3752,878,467,467,0,0,4,14000,1,3000,7.928260,10966,21115,5501,6529,2101,30.92,1.2143,4.832702,6684,2351,39.55,2.0556,3.095558,4282,4178,27.54,0.7409,0.000000,0,0,0,0,7.928260,10966,0,0,0,0,,,,,,
2026-04-17,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,945,28,28,0,0,0,28,28,24,39231,11744,4,12000,3,5200,4560,4700,640,0,0,0,4,4,2000,24360,8187,3944,945,6286,1385,4212,920,429,307,0,0,4,12000,0,0,13.037398,18032,14287,11757,8222,714,57.55,1.5857,5.045009,6978,2368,55.40,2.1305,7.992389,11054,5854,58.46,1.3653,0.000000,0,0,0,0,13.037398,18032,0,0,0,0,,,,,,
2026-04-18,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,913,23,23,0,0,0,23,23,21,39294,11619,1,3000,4,8000,7820,8000,180,0,0,0,7,7,3500,24587,8004,4039,911,5441,1307,4188,932,1039,465,0,0,1,3000,0,0,12.377096,17119,12325,12092,7927,531,64.32,1.5614,4.611292,6378,2458,57.63,1.8760,7.765804,10741,5469,67.85,1.4200,0.000000,0,0,0,0,12.377096,17119,0,0,0,0,,,,,,
2026-04-19,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,911,24,24,0,0,0,24,24,19,38172,11485,2,6000,5,12500,11830,12000,670,0,0,0,3,3,1500,24421,8155,3985,901,5215,1227,3845,896,706,306,0,0,2,6000,0,0,11.530587,15948,11247,10948,7528,570,66.93,1.5317,4.081172,5645,2198,58.83,1.8568,7.449415,10303,5330,70.96,1.3976,0.000000,0,0,0,0,11.530587,15948,0,0,0,0,,,,,,
2026-04-20,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,912,22,22,0,0,0,22,22,19,38588,11333,0,0,3,8500,7920,8000,580,0,0,0,4,4,2000,23895,7957,3884,880,5159,1163,4166,903,1484,430,0,0,0,0,0,0,10.336824,14297,19930,11138,7976,773,40.02,1.2960,2.779535,3844,2287,36.79,1.2154,7.557289,10453,5689,41.48,1.3284,0.000000,0,0,0,0,10.336824,14297,0,0,0,0,,,,,,
2026-04-21,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,886,34,34,0,0,0,34,34,31,37201,10957,3,13000,2,3000,2400,2500,600,0,0,0,3,3,1500,23445,7813,3743,837,4904,1127,4173,896,936,284,0,0,3,13000,0,0,11.682946,16159,34591,10807,8700,1328,25.15,1.3429,3.279507,4536,2603,23.77,1.2599,8.403439,11623,6097,25.79,1.3783,0.000000,0,0,0,0,11.682946,16159,13203,33,3114,400,,,,,,
2026-04-22,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,940,66,66,0,0,0,66,66,64,40126,11636,5,17000,3,5000,3960,4000,1040,0,0,0,9,9,4500,24693,8178,3622,880,5407,1201,4289,955,2115,422,0,0,2,8000,3,9000,15.081028,20859,34707,12560,9499,1241,27.37,1.5876,4.495758,6218,2894,24.14,1.5535,10.585270,14641,6605,29.07,1.6026,0.000000,0,0,0,0,15.081028,20859,15028,56,4294,268,,,,,,
2026-04-23,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,961,79,79,0,0,0,79,79,68,39624,11779,1,3000,6,14500,12850,13200,1650,0,0,0,11,11,5500,24608,8206,3710,889,5558,1274,4764,972,984,438,0,0,1,3000,0,0,15.508618,21450,33291,12706,9406,1066,28.25,1.6488,5.194626,7185,2884,25.25,1.8012,10.313992,14265,6522,29.82,1.5814,0.000000,0,0,0,0,15.508618,21450,15583,55,6126,283,,,,,,
2026-04-24,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,942,69,69,0,0,0,69,69,62,38940,11355,0,0,0,0,0,0,0,0,0,0,7,7,3500,24263,8013,4080,903,5158,1169,4609,949,830,321,0,0,0,0,0,0,18.158407,25115,48370,13071,9726,1259,20.11,1.8670,6.247197,8641,2982,20.51,2.0950,11.911210,16475,6744,19.94,1.7662,0.000000,0,0,0,0,18.158407,25115,16069,55,9189,292,,,,,,
2026-04-25,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,963,94,94,0,0,0,94,94,61,39301,11895,2,6000,3,5000,3910,4000,1090,0,0,0,7,7,3500,24892,8435,3916,872,4828,1160,4508,974,1157,454,0,0,2,6000,0,0,20.675886,28597,55172,13317,10128,1265,18.36,2.0415,6.236015,8625,3042,17.69,2.0500,14.439871,19972,7086,18.66,2.0378,0.000000,0,0,0,0,20.675886,28597,13899,66,5403,211,,,,,,
2026-04-26,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,991,88,88,0,0,0,88,88,74,39634,11859,0,0,4,17000,16890,17000,110,0,0,0,13,13,6500,25536,8499,3814,858,5304,1185,4099,975,881,342,0,0,0,0,0,0,20.743141,28690,51571,13194,10126,1321,19.64,2.0485,6.925232,9578,2903,17.93,2.3855,13.817909,19112,7223,20.41,1.9130,0.000000,0,0,0,0,20.743141,28690,15294,57,5356,268,,,,,,
