date,active_users,signup_count,new_participants_first_ad,reward_points_total,reward_events_total,withdrawal_count_total,withdrawal_points_total,giftcard_order_count_total,giftcard_point_amount_total,giftcard_purchase_amount_total,giftcard_sell_price_total,supabase_ad_revenue_usd,supabase_ad_revenue_krw,supabase_ad_event_count,adpopcorn_revenue_usd,adpopcorn_revenue_krw,adpopcorn_request_count,adpopcorn_response_count,adpopcorn_impression_count,adpopcorn_click_count,adpopcorn_fill_rate,adpopcorn_ecpm,preferred_revenue_usd,preferred_revenue_krw,google_ads_cost_krw,google_ads_conversions,google_ads_impressions,google_ads_cpa_krw
2026-04-14,938,31,23,50287,8785,11,32000,0,0,0,0,20.374024,29127,8760,0.128774,184,863,347,154,73,17.84,0.8362,0.128774,184,,,,
2026-04-15,898,21,18,45788,8206,5,12000,0,0,0,0,21.949840,31379,8319,0.305748,437,1309,23,325,188,24.83,0.9408,0.305748,437,,,,
2026-04-16,901,34,29,37802,11249,5,17000,5,12500,11850,12000,1.801225,2575,353,25.362987,36259,48439,19747,15500,2974,32.00,1.6363,25.362987,36259,0,0,0,0
2026-04-17,945,28,22,39231,11744,4,12000,3,5200,4560,4700,,,,26.248853,37525,40350,21825,16733,1428,41.47,1.5687,26.248853,37525,0,0,0,0
2026-04-18,913,23,21,39294,11619,1,3000,4,8000,7820,8000,,,,26.737453,38224,37212,22486,16595,1460,44.60,1.6112,26.737453,38224,0,0,0,0
2026-04-19,911,24,16,38172,11485,2,6000,5,12500,11830,12000,,,,28.863922,41264,34984,20290,15101,1699,43.17,1.9114,28.863922,41264,0,0,0,0
2026-04-20,912,22,20,38588,11333,0,0,3,8500,7920,8000,,,,25.495984,36449,43808,19676,14551,1745,33.22,1.7522,25.495984,36449,0,0,0,0
2026-04-21,886,34,49,37201,10957,3,13000,2,3000,2400,2500,,,,27.400300,39171,60017,18292,14661,2127,24.43,1.8689,27.400300,39171,13203,33,3114,400
2026-04-22,940,66,71,40126,11636,5,17000,3,5000,3960,4000,,,,28.524261,40778,61482,19789,15203,1892,24.73,1.8762,28.524261,40778,15028,56,4294,268
2026-04-23,961,79,51,39193,11663,1,3000,6,14500,12850,13200,,,,30.984222,44295,60074,20586,15577,1818,25.93,1.9891,30.984222,44295,15583,55,6126,283
2026-04-24,942,69,68,39618,11589,0,0,0,0,0,0,,,,30.217773,43199,75284,20123,15156,1747,20.13,1.9938,30.217773,43199,16069,55,9189,292
2026-04-25,963,94,65,38270,11593,2,6000,3,5000,3910,4000,,,,32.035847,45798,82942,20415,15464,1695,18.64,2.0716,32.035847,45798,13899,66,5403,211
2026-04-26,991,88,72,40429,12026,0,0,4,17000,16890,17000,,,,32.152423,45965,78952,21670,16779,1793,21.25,1.9162,32.152423,45965,15294,57,5356,268
2026-04-27,965,66,61,38752,11678,2,6000,2,5000,4950,5000,,,,30.122853,43063,98203,21181,16478,1947,16.78,1.8281,30.122853,43063,13306,52,6226,256
2026-04-28,965,67,45,39196,11482,2,6000,1,1500,990,1000,,,,28.117016,40196,106457,19456,15077,2046,14.16,1.8649,28.117016,40196,18389,63,10435,292
2026-04-29,952,39,28,38277,11276,5,19000,5,19500,17720,18000,,,,26.458951,37825,120691,19341,15374,2105,12.74,1.7210,26.458951,37825,15133,43,9598,352
2026-04-30,908,51,48,35930,10845,2,6000,4,9800,9610,9800,,,,24.766304,35406,118272,18834,14840,1866,12.55,1.6689,24.766304,35406,14057,42,9223,335
2026-05-01,934,52,46,37457,11119,7,21000,2,4500,3960,4000,,,,26.113030,37331,117984,18501,14632,1917,12.40,1.7847,26.113030,37331,15582,41,7801,380
2026-05-02,911,47,39,36005,10966,1,3000,3,8500,7770,8000,,,,24.907450,35607,117217,18199,14196,1972,12.11,1.7545,24.907450,35607,14078,41,6615,343
2026-05-03,929,41,47,36164,10984,3,9000,5,10100,9630,10100,,,,25.747125,36808,119387,18182,14296,2005,11.97,1.8010,25.747125,36808,15188,31,6988,490
2026-05-04,906,37,27,37473,11031,5,17000,1,3000,2970,3000,,,,24.123951,34487,112154,18009,14223,1867,12.68,1.6961,24.123951,34487,15160,29,6106,523
2026-05-05,915,35,28,36600,10860,3,9000,3,7000,6830,7000,,,,24.249016,34666,117074,18593,14589,1731,12.46,1.6621,24.249016,34666,14662,27,932,543
2026-05-06,864,25,20,36032,10692,3,9000,3,5300,4660,4800,,,,23.455665,33532,90244,18004,14356,1773,15.91,1.6339,23.455665,33532,9329,13,617,718
2026-05-07,839,19,10,34365,10338,3,9000,3,8000,7920,8000,,,,30.679991,43860,74371,15458,18351,1349,24.67,1.6718,30.679991,43860,389,2,256,194
2026-05-08,859,26,42,34149,10288,1,3000,3,8000,7920,8000,,,,36.806864,52619,20674,391,21275,8,102.91,1.7301,36.806864,52619,47896,29,4367,1652
2026-05-09,877,36,46,36465,10752,2,6000,3,7000,6930,7000,,,,39.671471,56714,20571,66,19045,1,92.58,2.0830,39.671471,56714,49872,46,6625,1084
2026-05-10,926,68,65,36767,11099,6,20000,2,4500,3960,4000,,,,42.107954,60197,21571,45,18489,2,85.71,2.2775,42.107954,60197,49237,86,9299,573
2026-05-11,932,74,58,38987,11698,8,24000,4,13800,13590,13800,,,,41.109220,58769,23045,66,19050,,82.66,2.1580,41.109220,58769,50467,107,10704,472
2026-05-12,970,78,73,39157,11569,7,21000,2,3600,3380,3600,,,,44.241952,63248,22159,6,19703,,88.92,2.2454,44.241952,63248,50991,116,9241,440
2026-05-13,940,120,75,39381,11399,4,12000,3,5300,4550,4800,,,,39.245810,56105,22790,32,18557,,81.43,2.1149,39.245810,56105,55868,127,18541,440
2026-05-14,976,84,81,38590,11538,5,15000,9,24500,23460,24000,,,,42.584182,60878,22487,4,18957,1,84.30,2.2464,42.584182,60878,53518,112,18888,478
2026-05-15,985,105,93,39799,11687,6,20000,2,4500,3960,4000,,,,43.983603,62879,23157,60,19048,1,82.26,2.3091,43.983603,62879,50475,136,18126,371
2026-05-16,950,99,66,37432,11281,3,9000,1,2000,1980,2000,,,,48.676275,69587,22477,2,18494,2,82.28,2.6320,48.676275,69587,50676,117,19348,433
2026-05-17,989,95,97,38794,11567,4,12000,2,5000,4950,5000,,,,48.367609,69146,24025,31,20084,2,83.60,2.4083,48.367609,69146,53652,123,18173,436
