date,ad_type,total_reward_points,event_count
2026-04-14,BONUS_CASH,13,2
2026-04-14,CARD_GAME,118,31
2026-04-14,CHECK_IN_MISSION,4,2
2026-04-14,EGG,50074,8718
2026-04-14,VAULT_GAME,78,32
2026-04-15,BONUS_CASH,4,1
2026-04-15,CARD_GAME,9,3
2026-04-15,EGG,45767,8199
2026-04-15,VAULT_GAME,8,3
2026-04-16,BONUS_CASH,3752,878
2026-04-16,CARD_GAME,4532,1065
2026-04-16,CHECK_IN_MISSION,467,467
2026-04-16,EGG,22260,7214
2026-04-16,VAULT_GAME,6791,1625
2026-04-17,BONUS_CASH,4212,920
2026-04-17,CARD_GAME,3944,945
2026-04-17,CHECK_IN_MISSION,429,307
2026-04-17,EGG,24360,8187
2026-04-17,VAULT_GAME,6286,1385
2026-04-18,BONUS_CASH,4188,932
2026-04-18,CARD_GAME,4039,911
2026-04-18,CHECK_IN_MISSION,1039,465
2026-04-18,EGG,24587,8004
2026-04-18,VAULT_GAME,5441,1307
2026-04-19,BONUS_CASH,3845,896
2026-04-19,CARD_GAME,3985,901
2026-04-19,CHECK_IN_MISSION,706,306
2026-04-19,EGG,24421,8155
2026-04-19,VAULT_GAME,5215,1227
2026-04-20,BONUS_CASH,4166,903
2026-04-20,CARD_GAME,3884,880
2026-04-20,CHECK_IN_MISSION,1484,430
2026-04-20,EGG,23895,7957
2026-04-20,VAULT_GAME,5159,1163
2026-04-21,BONUS_CASH,4173,896
2026-04-21,CARD_GAME,3743,837
2026-04-21,CHECK_IN_MISSION,936,284
2026-04-21,EGG,23445,7813
2026-04-21,VAULT_GAME,4904,1127
2026-04-22,BONUS_CASH,4289,955
2026-04-22,CARD_GAME,3622,880
2026-04-22,CHECK_IN_MISSION,2115,422
2026-04-22,EGG,24693,8178
2026-04-22,VAULT_GAME,5407,1201
2026-04-23,BONUS_CASH,4761,993
2026-04-23,CARD_GAME,3621,853
2026-04-23,CHECK_IN_MISSION,1080,452
2026-04-23,EGG,24401,8172
2026-04-23,VAULT_GAME,5330,1193
2026-04-24,BONUS_CASH,4809,958
2026-04-24,CARD_GAME,4308,950
2026-04-24,CHECK_IN_MISSION,695,311
2026-04-24,EGG,24551,8161
2026-04-24,VAULT_GAME,5255,1209
2026-04-25,BONUS_CASH,4273,955
2026-04-25,CARD_GAME,3749,843
2026-04-25,CHECK_IN_MISSION,1175,452
2026-04-25,EGG,24214,8179
2026-04-25,VAULT_GAME,4859,1164
2026-04-26,BONUS_CASH,4297,990
2026-04-26,CARD_GAME,3762,863
2026-04-26,CHECK_IN_MISSION,938,356
2026-04-26,EGG,26027,8642
2026-04-26,VAULT_GAME,5405,1175
2026-04-27,BONUS_CASH,4158,963
2026-04-27,CARD_GAME,3675,887
2026-04-27,CHECK_IN_MISSION,1410,393
2026-04-27,EGG,24466,8261
2026-04-27,VAULT_GAME,5043,1174
2026-04-28,BONUS_CASH,4427,952
2026-04-28,CARD_GAME,3336,854
2026-04-28,CHECK_IN_MISSION,1157,350
2026-04-28,EGG,25293,8195
2026-04-28,VAULT_GAME,4983,1131
2026-04-29,BONUS_CASH,4337,945
2026-04-29,CARD_GAME,3655,834
2026-04-29,CHECK_IN_MISSION,1762,393
2026-04-29,EGG,23989,8041
2026-04-29,VAULT_GAME,4534,1063
2026-04-30,BONUS_CASH,4111,875
2026-04-30,CARD_GAME,3652,828
2026-04-30,CHECK_IN_MISSION,937,380
2026-04-30,EGG,22553,7660
2026-04-30,VAULT_GAME,4677,1102
2026-05-01,BONUS_CASH,4216,887
2026-05-01,CARD_GAME,3531,863
2026-05-01,CHECK_IN_MISSION,810,334
2026-05-01,EGG,24086,7906
2026-05-01,VAULT_GAME,4814,1129
2026-05-02,BONUS_CASH,3917,892
2026-05-02,CARD_GAME,3615,868
2026-05-02,CHECK_IN_MISSION,1034,366
2026-05-02,EGG,22493,7718
2026-05-02,VAULT_GAME,4946,1122
2026-05-03,BONUS_CASH,4024,901
2026-05-03,CARD_GAME,3636,833
2026-05-03,CHECK_IN_MISSION,914,332
2026-05-03,EGG,22957,7833
2026-05-03,VAULT_GAME,4633,1085
2026-05-04,BONUS_CASH,4128,911
2026-05-04,CARD_GAME,3535,865
2026-05-04,CHECK_IN_MISSION,1219,390
2026-05-04,EGG,23507,7779
2026-05-04,VAULT_GAME,5084,1086
2026-05-05,BONUS_CASH,3901,853
2026-05-05,CARD_GAME,3881,832
2026-05-05,CHECK_IN_MISSION,1011,305
2026-05-05,EGG,23321,7800
2026-05-05,VAULT_GAME,4486,1070
2026-05-06,BONUS_CASH,3664,860
2026-05-06,CARD_GAME,3427,812
2026-05-06,CHECK_IN_MISSION,1625,375
2026-05-06,EGG,22746,7578
2026-05-06,VAULT_GAME,4570,1067
2026-05-07,BONUS_CASH,3875,865
2026-05-07,CARD_GAME,3641,802
2026-05-07,CHECK_IN_MISSION,957,360
2026-05-07,EGG,21409,7277
2026-05-07,VAULT_GAME,4483,1034
2026-05-08,BONUS_CASH,3843,844
2026-05-08,CARD_GAME,3410,766
2026-05-08,CHECK_IN_MISSION,883,326
2026-05-08,EGG,21794,7355
2026-05-08,VAULT_GAME,4219,997
2026-05-09,BONUS_CASH,3984,887
2026-05-09,CARD_GAME,3743,873
2026-05-09,CHECK_IN_MISSION,1020,359
2026-05-09,EGG,22673,7531
2026-05-09,VAULT_GAME,5045,1102
2026-05-10,BONUS_CASH,4037,904
2026-05-10,CARD_GAME,3813,862
2026-05-10,CHECK_IN_MISSION,1108,369
2026-05-10,EGG,23078,7871
2026-05-10,VAULT_GAME,4731,1093
2026-05-11,BONUS_CASH,4056,919
2026-05-11,CARD_GAME,3677,889
2026-05-11,CHECK_IN_MISSION,1250,406
2026-05-11,EGG,24942,8333
2026-05-11,VAULT_GAME,5062,1151
2026-05-12,BONUS_CASH,4243,944
2026-05-12,CARD_GAME,3914,884
2026-05-12,CHECK_IN_MISSION,1137,345
2026-05-12,EGG,25007,8275
2026-05-12,VAULT_GAME,4856,1121
2026-05-13,BONUS_CASH,4103,928
2026-05-13,CARD_GAME,3855,883
2026-05-13,CHECK_IN_MISSION,1524,398
2026-05-13,EGG,24346,8032
2026-05-13,VAULT_GAME,5553,1158
2026-05-14,BONUS_CASH,4154,947
2026-05-14,CARD_GAME,3860,919
2026-05-14,CHECK_IN_MISSION,1036,370
2026-05-14,EGG,24457,8137
2026-05-14,VAULT_GAME,5083,1165
2026-05-15,BONUS_CASH,4327,924
2026-05-15,CARD_GAME,4079,949
2026-05-15,CHECK_IN_MISSION,996,360
2026-05-15,EGG,25049,8214
2026-05-15,VAULT_GAME,5348,1240
2026-05-16,BONUS_CASH,3884,899
2026-05-16,CARD_GAME,3968,889
2026-05-16,CHECK_IN_MISSION,1113,366
2026-05-16,EGG,23508,7958
2026-05-16,VAULT_GAME,4959,1169
2026-05-17,BONUS_CASH,4198,943
2026-05-17,CARD_GAME,4343,949
2026-05-17,CHECK_IN_MISSION,1166,366
2026-05-17,EGG,23689,8048
2026-05-17,VAULT_GAME,5398,1261
2026-05-18,BONUS_CASH,4321,965
2026-05-18,CARD_GAME,4008,917
2026-05-18,CHECK_IN_MISSION,1074,387
2026-05-18,EGG,25314,8384
2026-05-18,VAULT_GAME,4727,1202
2026-05-19,BONUS_CASH,4509,942
2026-05-19,CARD_GAME,3736,923
2026-05-19,CHECK_IN_MISSION,1079,336
2026-05-19,EGG,24984,8303
2026-05-19,VAULT_GAME,5326,1211
2026-05-20,BONUS_CASH,4446,1008
2026-05-20,CARD_GAME,4086,991
2026-05-20,CHECK_IN_MISSION,1503,425
2026-05-20,EGG,25674,8467
2026-05-20,VAULT_GAME,5989,1251
2026-05-21,BONUS_CASH,4325,981
2026-05-21,CARD_GAME,3935,961
2026-05-21,CHECK_IN_MISSION,1056,382
2026-05-21,EGG,24632,8267
2026-05-21,VAULT_GAME,5695,1252
2026-05-22,BONUS_CASH,3636,971
2026-05-22,CARD_GAME,3438,921
2026-05-22,CHECK_IN_MISSION,1079,342
2026-05-22,EGG,29960,7805
2026-05-22,VAULT_GAME,4653,1174
2026-05-23,BONUS_CASH,2626,904
2026-05-23,CARD_GAME,2587,908
2026-05-23,CHECK_IN_MISSION,1078,365
2026-05-23,EGG,33507,7489
2026-05-23,VAULT_GAME,3351,1133
2026-05-24,BONUS_CASH,2543,880
2026-05-24,CARD_GAME,2576,934
2026-05-24,CHECK_IN_MISSION,1187,336
2026-05-24,EGG,33307,7425
2026-05-24,VAULT_GAME,3236,1169
2026-05-25,BONUS_CASH,2603,918
2026-05-25,CARD_GAME,2768,941
2026-05-25,CHECK_IN_MISSION,1059,379
2026-05-25,EGG,35688,7708
2026-05-25,VAULT_GAME,3440,1234
2026-05-26,BONUS_CASH,3579,960
2026-05-26,CARD_GAME,3233,980
2026-05-26,CHECK_IN_MISSION,982,336
2026-05-26,EGG,28060,8238
2026-05-26,VAULT_GAME,4589,1258
2026-05-27,BONUS_CASH,4681,1016
2026-05-27,CARD_GAME,4380,981
2026-05-27,CHECK_IN_MISSION,1372,405
2026-05-27,EGG,25756,8541
2026-05-27,VAULT_GAME,5623,1299
2026-05-28,BONUS_CASH,4943,1030
2026-05-28,CARD_GAME,4579,1038
2026-05-28,CHECK_IN_MISSION,1122,430
2026-05-28,EGG,26368,8869
2026-05-28,VAULT_GAME,5872,1364
2026-05-29,BONUS_CASH,4662,1024
2026-05-29,CARD_GAME,4606,993
2026-05-29,CHECK_IN_MISSION,1142,366
2026-05-29,EGG,26334,8717
2026-05-29,VAULT_GAME,5705,1334
2026-05-30,BONUS_CASH,4608,986
2026-05-30,CARD_GAME,4194,994
2026-05-30,CHECK_IN_MISSION,1250,416
2026-05-30,EGG,26121,8634
2026-05-30,VAULT_GAME,5753,1307
2026-05-31,BONUS_CASH,4476,1040
2026-05-31,CARD_GAME,4594,1084
2026-05-31,CHECK_IN_MISSION,1185,403
2026-05-31,EGG,26478,8827
2026-05-31,VAULT_GAME,6350,1469
2026-06-01,EGG,25892,8681
2026-06-01,CARD_GAME,4438,1031
2026-06-01,VAULT_GAME,5816,1330
2026-06-01,BONUS_CASH,4588,1045
2026-06-01,CHECK_IN_MISSION,1268,415
2026-06-02,EGG,26336,8556
2026-06-02,CARD_GAME,4708,1049
2026-06-02,VAULT_GAME,7210,1651
2026-06-02,BONUS_CASH,3990,902
2026-06-02,CHECK_IN_MISSION,1345,384
2026-06-03,EGG,26304,8697
2026-06-03,CARD_GAME,5256,1188
2026-06-03,VAULT_GAME,8480,1927
2026-06-03,BONUS_CASH,4695,973
2026-06-03,CHECK_IN_MISSION,1598,476
2026-06-04,EGG,26215,8791
2026-06-04,CARD_GAME,4949,1155
2026-06-04,VAULT_GAME,8142,1911
2026-06-04,BONUS_CASH,4514,1020
2026-06-04,CHECK_IN_MISSION,1174,405
2026-06-05,EGG,25536,8539
2026-06-05,CARD_GAME,5020,1133
2026-06-05,VAULT_GAME,8027,1823
2026-06-05,BONUS_CASH,4343,974
2026-06-05,CHECK_IN_MISSION,1361,401
2026-06-06,EGG,25277,8420
2026-06-06,CARD_GAME,5040,1136
2026-06-06,VAULT_GAME,7709,1769
2026-06-06,BONUS_CASH,4244,965
2026-06-06,CHECK_IN_MISSION,1324,407
2026-06-07,EGG,25888,8790
2026-06-07,CARD_GAME,4571,1151
2026-06-07,VAULT_GAME,8473,1869
2026-06-07,BONUS_CASH,4591,969
2026-06-07,CHECK_IN_MISSION,1390,426
2026-06-08,EGG,25768,8572
2026-06-08,CARD_GAME,4705,1135
2026-06-08,VAULT_GAME,7431,1781
2026-06-08,BONUS_CASH,4517,969
2026-06-08,CHECK_IN_MISSION,1327,400
2026-06-09,EGG,26271,8763
2026-06-09,CARD_GAME,4869,1128
2026-06-09,VAULT_GAME,7989,1849
2026-06-09,BONUS_CASH,4233,952
2026-06-09,CHECK_IN_MISSION,1461,437
2026-06-10,EGG,26562,8757
2026-06-10,CARD_GAME,4776,1160
2026-06-10,VAULT_GAME,7887,1799
2026-06-10,BONUS_CASH,4324,966
2026-06-10,CHECK_IN_MISSION,1384,411
2026-06-11,EGG,29463,9749
2026-06-11,CARD_GAME,5458,1240
2026-06-11,VAULT_GAME,8493,1996
2026-06-11,BONUS_CASH,4126,965
2026-06-11,CHECK_IN_MISSION,1422,469
