날짜,Ecpm,한화,요청수,일치율,DAU,신규가입,누적 가입자수,Ads 집행비용,비고,요일,월,Rev_per_req,Req_per_DAU,가입당광고비,광고비대비매출
2026-01-01,,,,,,1,1,,,Thursday,2026-01,,,,
2026-01-02,,,,,,16,17,,,Friday,2026-01,,,,
2026-01-03,,,,,,31,48,,,Saturday,2026-01,,,,
2026-01-04,,,,,,15,63,,,Sunday,2026-01,,,,
2026-01-05,,,,,,19,82,,,Monday,2026-01,,,,
2026-01-06,4.8,7200.0,63.0,1.0,174.0,95,177,41594.0,,Tuesday,2026-01,114.28571428571429,0.3620689655172414,437.8315789473684,0.17310188969562917
2026-01-07,5.03,7545.0,5284.0,0.9911,666.0,506,683,78212.0,,Wednesday,2026-01,1.427895533686601,7.933933933933934,154.5691699604743,0.09646857259755537
2026-01-08,5.31,7964.999999999999,5489.0,0.9419,573.0,113,796,26255.0,,Thursday,2026-01,1.4510839861541263,9.579406631762653,232.34513274336283,0.3033707865168539
2026-01-09,4.97,7455.0,5003.0,0.9718,516.0,71,867,3462.0,,Friday,2026-01,1.490105936438137,9.695736434108527,48.76056338028169,2.153379549393414
2026-01-10,4.1,6149.999999999999,4728.0,0.9772,476.0,32,899,2762.0,,Saturday,2026-01,1.3007614213197967,9.932773109243698,86.3125,2.22664735698769
2026-01-11,3.84,5760.0,4909.0,0.9766,491.0,35,934,,,Sunday,2026-01,1.1733550621307802,9.9979633401222,,
2026-01-12,3.77,5655.0,4470.0,0.979,458.0,33,967,1515.0,,Monday,2026-01,1.2651006711409396,9.759825327510917,45.90909090909091,3.732673267326733
2026-01-13,3.81,5715.0,4831.0,0.9696,475.0,37,1004,3704.0,,Tuesday,2026-01,1.1829848892568826,10.170526315789473,100.10810810810811,1.54292656587473
2026-01-14,3.83,5745.0,4975.0,0.9751,472.0,31,1035,1752.0,,Wednesday,2026-01,1.1547738693467338,10.540254237288135,56.516129032258064,3.279109589041096
2026-01-15,3.21,4815.0,5579.0,0.867,494.0,27,1062,2793.0,,Thursday,2026-01,0.8630578956802294,11.293522267206479,103.44444444444444,1.723952738990333
2026-01-16,2.84,4260.0,5196.0,0.9373,462.0,20,1082,806.0,,Friday,2026-01,0.8198614318706697,11.246753246753247,40.3,5.285359801488834
2026-01-17,2.66,3990.0,4710.0,0.9611,454.0,20,1102,,,Saturday,2026-01,0.8471337579617835,10.374449339207048,,
2026-01-18,2.35,3525.0,4722.0,0.9786,460.0,35,1137,22869.0,,Sunday,2026-01,0.7465057179161372,10.265217391304347,653.4,0.15413879050242688
2026-01-19,2.83,4245.0,5343.0,0.98,525.0,81,1218,28423.0,,Monday,2026-01,0.7944974733295901,10.177142857142858,350.9012345679012,0.1493508778102241
2026-01-20,2.98,4470.0,5019.0,0.9745,479.0,20,1238,685.0,,Tuesday,2026-01,0.8906156604901375,10.478079331941546,34.25,6.525547445255475
2026-01-21,3.49,5235.0,5475.0,0.9759,531.0,66,1304,22121.0,,Wednesday,2026-01,0.9561643835616438,10.310734463276836,335.1666666666667,0.2366529542064102
2026-01-22,3.93,5895.0,5577.0,0.977,525.0,25,1329,,,Thursday,2026-01,1.0570199031737493,10.622857142857143,,
2026-01-23,3.81,5715.0,5449.0,0.982,523.0,22,1351,,,Friday,2026-01,1.0488162965681775,10.418738049713193,,
2026-01-24,2.93,4395.0,4754.0,0.9634,501.0,16,1367,,,Saturday,2026-01,0.9244846445098864,9.489021956087825,,
2026-01-25,3.08,4620.0,4460.0,0.9742,489.0,20,1387,,,Sunday,2026-01,1.0358744394618835,9.120654396728016,,
2026-01-26,2.69,4035.0,4728.0,0.9786,525.0,12,1399,,,Monday,2026-01,0.8534263959390863,9.005714285714285,,
2026-01-27,2.23,3345.0,4551.0,0.9739,482.0,14,1413,,,Tuesday,2026-01,0.7350032959789057,9.441908713692946,,
2026-01-28,3.22,4830.0,4812.0,0.8639,476.0,12,1425,,,Wednesday,2026-01,1.0037406483790523,10.109243697478991,,
2026-01-29,3.05,4575.0,4563.0,0.9577,465.0,15,1440,,,Thursday,2026-01,1.0026298487836949,9.812903225806451,,
2026-01-30,3.46,5190.0,4562.0,0.95,475.0,12,1452,,,Friday,2026-01,1.1376589215256467,9.60421052631579,,
2026-01-31,2.7,4050.0000000000005,4438.0,0.9612,472.0,18,1470,,,Saturday,2026-01,0.9125732311852187,9.402542372881356,,
2026-02-01,3.49,5235.0,4311.0,0.9717,467.0,10,1480,,,Sunday,2026-02,1.2143354210160056,9.231263383297645,,
2026-02-02,3.1,4650.0,4292.0,0.9758,454.0,12,1492,,,Monday,2026-02,1.0834109972041006,9.45374449339207,,
2026-02-03,2.76,4140.0,4189.0,0.9778,446.0,10,1502,,,Tuesday,2026-02,0.9883026975411793,9.39237668161435,,
2026-02-04,3.28,4920.0,4208.0,0.9868,455.0,24,1526,,,Wednesday,2026-02,1.1692015209125475,9.248351648351647,,
2026-02-05,2.26,3389.9999999999995,4163.0,0.9839,450.0,11,1537,,,Thursday,2026-02,0.8143165986067739,9.251111111111111,,
2026-02-06,2.8,4200.0,4566.0,0.9875,479.0,34,1571,,,Friday,2026-02,0.9198423127463863,9.532359081419624,,
2026-02-07,2.26,3389.9999999999995,4480.0,0.9815,464.0,37,1608,,,Saturday,2026-02,0.7566964285714285,9.655172413793103,,
2026-02-08,2.68,4020.0000000000005,4639.0,0.9795,488.0,40,1648,,,Sunday,2026-02,0.866566070273766,9.506147540983607,,
2026-02-09,2.93,4395.0,3855.0,0.9741,490.0,55,1703,,,Monday,2026-02,1.140077821011673,7.86734693877551,,
