section,metric,label,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-05-30,2026-05-31,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-06,2026-06-07,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-13,2026-06-14,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-20,2026-06-21,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-27,2026-06-28,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-04,2026-07-05,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-11,2026-07-12,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-18,2026-07-19,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-25,2026-07-26,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-01,2026-08-02,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-08,2026-08-09,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-15,2026-08-16,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-22,2026-08-23,2026-08-24,2026-08-25
유저,active_users,활성 유저 수,938,898,901,945,913,911,912,886,940,961,942,963,991,965,965,952,908,934,911,929,906,915,864,839,859,877,926,932,970,940,976,985,950,989,985,980,988,981,943,917,943,998,1023,1038,1084,1053,1050,1083,1070,1088,1083,1063,1010,1020,1047,1023,1052,1047,1196,1312,1346,1438,1476,1335,1339,1318,1190,1206,1240,1228,1253,1338,1720,1726,1768,1641,1541,1551,1771,1734,1665,1570,1548,1549,1541,1575,2042,2420,2387,2308,2513,1867,1814,2211,2343,2276,2379,2247,2273,2248,2156,2790,2501,2562,2464,2346,2316,2362,2138,1966,1914,2036,2015,2029,2055,1995,2031,2085,2081,6371,4067,2603,2386,2369,2406,2393,2371,,,,,,2485,2428
유저,signup_count,회원가입 수,31,21,34,28,23,24,22,34,66,79,69,94,88,66,67,39,51,52,47,41,37,35,25,19,26,36,68,74,78,120,84,105,99,95,92,78,66,80,63,66,68,147,149,138,142,135,149,170,104,182,165,147,42,53,64,49,104,69,184,279,325,309,324,175,242,164,118,136,141,137,144,227,919,701,703,294,151,152,327,417,342,188,199,157,173,172,747,1792,1296,1074,1524,285,141,741,1021,924,889,702,671,617,519,1489,1125,1005,781,617,680,667,560,40,28,131,156,182,190,133,172,173,176,9356,6656,208,130,145,151,152,138,,,,,,119,115
유저,new_participants_first_ad,신규 참여자 수,23,18,29,22,21,16,20,49,71,51,68,65,72,61,45,28,48,46,39,47,27,28,20,10,42,46,65,58,73,75,81,93,66,97,65,67,55,62,52,50,51,113,118,112,132,117,108,129,84,108,116,85,32,54,54,44,81,70,175,249,294,276,232,123,173,119,80,84,110,101,108,180,506,477,457,252,139,127,225,268,216,130,133,110,132,127,486,958,728,576,764,207,117,457,586,588,541,423,405,385,295,810,646,540,443,342,383,377,319,37,25,111,110,122,136,92,126,122,116,3465,2319,190,102,120,107,109,95,,,,,,97,78
보상,reward_points_total,보상 포인트 합계,50287,45788,37802,39231,39294,38172,38588,37201,40126,39193,39618,38270,40429,38752,39196,38277,35930,37457,36005,36164,37473,36600,36032,34365,34149,36465,36767,38987,39157,39381,38590,39799,37432,38794,39444,39634,41698,39643,42766,43149,42849,45558,40443,41812,42884,42449,41926,43083,42002,43589,46333,44994,44287,43594,44913,43748,44823,44933,48962,50719,51765,53748,57416,53302,53170,53928,49955,50962,51930,51208,53111,52749,71048,83791,92418,91834,87384,89417,95403,94795,91524,84437,85115,84576,84079,87958,114664,119513,127869,127523,140781,138281,122583,125684,137524,137172,146327,153128,162139,163823,159670,187509,176657,186497,182633,172508,167527,172922,158161,157223,150939,162524,158594,162850,166578,160879,163657,174403,163557,335059,268511,213540,201851,197619,195160,196402,193758,0,0,0,0,0,194574,187751
보상,reward_events_total,보상 이벤트 수,8785,8206,11249,11744,11619,11485,11333,10957,11636,11663,11589,11593,12026,11678,11482,11276,10845,11119,10966,10984,11031,10860,10692,10338,10288,10752,11099,11698,11569,11399,11538,11687,11281,11567,11855,11715,12142,11843,11213,10799,10744,11180,11772,12242,12731,12434,12337,12823,12502,12542,13261,13282,12870,12697,13205,12857,13129,13093,14419,14907,15354,16162,16535,15857,15693,15569,14488,14607,14978,14986,15394,15634,17578,18089,19004,19410,18311,18618,19608,19603,19268,18825,18941,18945,18942,19363,22638,22357,23761,24495,27107,27692,25526,26027,27766,27330,29215,28150,28826,29353,28877,31698,30777,32350,32362,31028,30457,31551,29145,29852,29025,30664,30403,30717,31253,29921,30641,32450,30838,49546,42635,36683,35810,35680,36199,36778,36878,0,0,0,0,0,36871,35883
출금,withdrawal_count_total,출금 요청 건수 합계,11,5,5,4,1,2,0,3,5,1,0,2,0,2,2,5,2,7,1,3,5,3,3,3,1,2,6,8,7,4,5,6,3,4,4,2,6,3,3,5,1,4,5,7,2,3,2,5,9,3,6,2,4,3,7,7,3,8,6,5,6,4,2,9,4,3,11,3,6,7,7,6,2,7,3,2,7,4,7,4,10,3,6,6,2,7,7,4,3,6,4,4,5,8,3,6,10,8,3,14,11,16,5,14,6,9,12,15,19,9,12,13,19,12,11,16,21,20,20,16,18,21,13,18,21,27,18,0,0,0,0,0,23,36
출금,withdrawal_points_total,출금 포인트 합계,32000,12000,17000,12000,3000,6000,0,13000,17000,3000,0,6000,0,6000,6000,19000,6000,21000,3000,9000,17000,9000,9000,9000,3000,6000,20000,24000,21000,12000,15000,20000,9000,12000,12000,6000,18000,11000,9000,15000,3000,12000,15000,25000,6000,9000,8000,15000,29000,11000,20000,6000,16000,9000,21000,28000,9000,26000,20000,17000,18000,12000,6000,33000,14000,11000,37000,11000,20000,23000,21000,20000,6000,23000,11000,8000,32000,12000,23000,12000,43000,9000,20000,18000,6000,23000,25000,14000,9000,18000,12000,12000,17000,26000,9000,20000,39000,24000,9000,48000,40000,50000,17000,50000,20000,27000,40000,49000,61000,27000,38000,41000,81000,43000,35000,55000,69000,68000,77000,54000,65000,67000,41000,56000,67000,83000,60000,0,0,0,0,0,79000,118000
기프티콘,giftcard_order_count_total,기프티콘 주문 건수,0,0,5,3,4,5,3,2,3,6,0,3,4,2,1,5,4,2,3,5,1,3,3,3,3,3,2,4,2,3,9,2,1,2,3,5,1,6,3,7,4,4,4,3,3,4,3,2,2,3,4,0,4,1,4,2,3,5,2,2,2,2,2,3,6,2,1,1,7,3,3,4,4,5,3,10,5,3,5,2,2,3,1,6,4,5,2,7,8,0,7,7,5,6,4,6,7,5,4,5,3,2,5,5,14,8,8,8,6,16,11,12,18,9,9,10,18,16,16,7,14,12,14,6,16,11,13,0,0,0,0,0,14,15
기프티콘,giftcard_point_amount_total,고객 캐시 차감액,0,0,12500,5200,8000,12500,8500,3000,5000,14500,0,5000,17000,5000,1500,19500,9800,4500,8500,10100,3000,7000,5300,8000,8000,7000,4500,13800,3600,5300,24500,4500,2000,5000,5500,10900,1700,14000,6800,14000,8000,7000,7800,6500,5500,7000,12000,3000,4500,5000,10500,0,8000,2000,9500,3800,10000,10500,4500,4500,5000,7000,4000,6000,25000,4400,5000,1500,15500,9000,9000,12500,7500,14500,6500,84500,37000,11000,14500,3700,4500,6500,3000,11000,7000,12200,8000,22000,15000,0,15800,15200,11100,10700,10500,18500,16000,23000,12000,12100,5500,5000,10000,13500,40000,23700,14800,15000,14100,41500,27100,34300,68000,21500,27000,22400,53300,31100,37300,18500,33400,25000,31800,15500,43300,28500,25100,0,0,0,0,0,35000,34300
기프티콘,giftcard_purchase_amount_total,기프티콘 실구매액,0,0,11850,4560,7820,11830,7920,2400,3960,12850,0,3910,16890,4950,990,17720,9610,3960,7770,9630,2970,6830,4660,7920,7920,6930,3960,13590,3380,4550,23460,3960,1980,4950,4850,10580,1590,12820,6640,12770,6930,5890,7630,6210,4900,6310,11880,1980,3960,3960,10320,0,7920,1980,8510,3570,9900,9650,3960,3810,4850,6950,3960,5210,23510,4130,4970,990,14850,8930,8810,11580,6930,14230,5940,83430,36650,10890,13830,3570,3960,5890,2970,9930,5790,11390,7770,21830,13860,0,14560,12750,10730,9510,9920,16830,15740,22820,11800,11570,4900,4850,8860,13040,38650,22240,13890,12840,13670,39660,25120,33390,65130,20660,25170,21180,51130,27100,32990,17670,31450,23140,29830,14870,41900,27370,22690,0,0,0,0,0,33260,31410
기프티콘,giftcard_margin_vs_point_total,기프티콘 수수료성 수익,0,0,650,640,180,670,580,600,1040,1650,0,1090,110,50,510,1780,190,540,730,470,30,170,640,80,80,70,540,210,220,750,1040,540,20,50,650,320,110,1180,160,1230,1070,1110,170,290,600,690,120,1020,540,1040,180,0,80,20,990,230,100,850,540,690,150,50,40,790,1490,270,30,510,650,70,190,920,570,270,560,1070,350,110,670,130,540,610,30,1070,1210,810,230,170,1140,0,1240,2450,370,1190,580,1670,260,180,200,530,600,150,1140,460,1350,1460,910,2160,430,1840,1980,910,2870,840,1830,1220,2170,4000,4310,830,1950,1860,1970,630,1400,1130,2410,0,0,0,0,0,1740,2890
광고수익,supabase_ad_event_count,Supabase 광고 이벤트 수,8760,8319,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광고수익,adpopcorn_request_count,Adpopcorn 요청 수,863,1309,48439,40350,37212,34984,43808,60017,61482,60074,75284,82942,78952,98203,106457,120691,118272,117984,117217,119387,112154,117074,90244,74371,20674,20571,21571,23045,22159,22790,22487,23157,22477,24025,23643,22958,23603,23951,22688,21743,21303,23007,24094,23067,24843,23987,23619,25039,24652,28338,33859,33170,31697,31372,32343,32068,31923,32234,35689,36781,39296,40207,42066,38616,40280,39364,36140,35930,36329,37033,37189,39222,44999,46715,49401,49379,51342,54532,59343,60518,59090,57435,58107,57684,57135,59151,67243,79672,78040,78829,83044,70947,68527,72278,76948,78950,80286,78229,79205,80718,78450,86701,86252,87222,87101,85167,82668,83675,80308,75488,75792,78673,79088,79592,78573,77863,79166,81102,80443,141192,135501,100059,93808,92730,95281,95143,93815,92785,92829,91434,92405,93079,94998,
광고수익,adpopcorn_response_count,Adpopcorn 응답 수,347,23,19747,21825,22486,20290,19676,18292,19789,20586,20123,20415,21670,21181,19456,19341,18834,18501,18199,18182,18009,18593,18004,15458,391,66,45,66,6,32,4,60,2,31,35,37,36,31,28,34,32,29,27,2,24,,,2,2,2,,,,,2,,,1,,1,,,2,1,,,,,1,,,,,,,1,,,,,,1,,,1,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,1,1,1,,,,1,,,,,1,,,,,,,,,,,
