주차,주간_마지막_누적가입자,직전주_대비_누적증가,주간_신규가입_합계,주간_요청수_합계,주간_DAU_합계,주간_평균_eCPM,주간_평균_일치율,적용환율,추정_실효수익화율,주간_광고매출_실제,주간_광고매출_추정,실제_실효수익화율,실제대비_추정오차,주간_광고집행비용_합계
2026-01-04,63,63.0,63,0.0,0.0,,,1450.0,0.23946357021159625,0.0,0.0,,0.0,0.0
2026-01-11,934,871.0,871,25476.0,2896.0,4.675,0.9764333333333334,1450.0,0.23946357021159625,42075.0,40143.587557349725,0.2509847856088847,1931.412442650275,152285.0
2026-01-18,1137,203.0,203,34483.0,3275.0,3.21,0.9525285714285714,1450.0,0.23946357021159625,33705.0,36521.86599147451,0.22099417471894606,-2816.8659914745076,33439.0
2026-01-25,1387,250.0,250,36077.0,3573.0,3.292857142857143,0.9752857142857143,1450.0,0.23946357021159625,34575.0,40501.05695017736,0.2044256017874043,-5926.056950177357,51229.0
2026-02-01,1480,93.0,93,31965.0,3362.0,2.9771428571428573,0.951,1450.0,0.23946357021159625,31260.0,31311.400325762388,0.23907047040165344,-51.40032576238809,0.0
2026-02-08,1648,168.0,168,30537.0,3236.0,2.7342857142857144,0.9818285714285714,1450.0,0.23946357021159625,28710.0,28439.328157321845,0.24174266926221064,270.6718426781554,0.0
2026-02-15,1967,319.0,319,31097.0,3430.0,3.005714285714286,0.9637714285714286,1450.0,0.23946357021159625,31560.0,31392.17369714197,0.24074377100449182,167.82630285802952,0.0
2026-02-22,2301,334.0,334,30428.0,3350.0,3.6114285714285717,0.9457428571428571,1450.0,0.23946357021159625,37920.0,36089.651687242695,0.2516083740878434,1830.3483127573054,0.0
2026-03-01,2515,214.0,214,31732.0,3418.0,3.5628571428571427,0.9344428571428571,1450.0,0.23946357021159625,37410.0,36679.85946351787,0.24423027494218885,730.140536482133,0.0
2026-03-08,2672,157.0,157,31500.0,3360.0,3.9,0.9398714285714286,1450.0,0.23946357021159625,40950.0,40064.35074514418,0.2447570725042478,885.6492548558235,117083.0
2026-03-15,2965,293.0,293,33892.0,3580.0,3.392857142857143,0.9272999999999999,1450.0,0.23946357021159625,35625.0,37090.75353720496,0.23000044149092197,-1465.7535372049606,54637.0
2026-03-22,4241,1276.0,1276,71775.0,5476.0,4.0442857142857145,0.9435571428571429,1450.0,0.23946357021159625,42465.0,94681.21136673368,0.10740061689375742,-52216.21136673368,380940.0
