date,cost_krw,conversions,impressions,cpa_krw
2026-04-16,0,0,0,0
2026-04-17,0,0,0,0
2026-04-18,0,0,0,0
2026-04-19,0,0,0,0
2026-04-20,0,0,0,0
2026-04-21,13203,33,3114,400
2026-04-22,15028,56,4294,268
2026-04-23,15583,55,6126,283
2026-04-24,16069,55,9189,292
2026-04-25,13899,66,5403,211
2026-04-26,15294,57,5356,268
2026-04-27,13306,52,6226,256
2026-04-28,18389,63,10435,292
2026-04-29,15133,43,9598,352
2026-04-30,14057,42,9223,335
2026-05-01,15582,41,7801,380
2026-05-02,14078,41,6615,343
2026-05-03,15188,31,6988,490
2026-05-04,15160,29,6106,523
2026-05-05,14662,27,932,543
2026-05-06,9329,13,617,718
2026-05-07,389,2,256,194
2026-05-08,47896,29,4367,1652
2026-05-09,49872,46,6625,1084
2026-05-10,49237,86,9299,573
2026-05-11,50467,107,10704,472
2026-05-12,50991,116,9241,440
2026-05-13,55868,127,18541,440
2026-05-14,53518,112,18888,478
2026-05-15,50475,136,18126,371
2026-05-16,50676,117,19348,433
2026-05-17,53652,123,18173,436
2026-05-18,51318,114,21422,450
2026-05-19,51808,96,21776,540
2026-05-20,48287,74,15505,653
2026-05-21,46471,97,14974,479
2026-05-22,51890,75,16079,692
2026-05-23,49522,84,13699,590
2026-05-24,51141,83,20289,616
2026-05-25,207997,221,71254,941
2026-05-26,204365,234,67260,873
2026-05-27,202418,232,46590,872
2026-05-28,196058,192,42733,1021
2026-05-29,201341,221,46100,911
2026-05-30,198525,218,39732,911
2026-05-31,210440,223,38265,944
2026-06-01,233509,201,34051,1162
2026-06-02,1047917,709,110120,1478
2026-06-03,1053835,653,84631,1614
2026-06-04,1012281,698,87031,1450
2026-06-05,23024,43,8340,535
2026-06-06,41625,72,12279,578
2026-06-07,42801,79,9824,0
2026-06-08,63556,101,15470,0
2026-06-09,170345,236,30543,0
