date,new_participants_first_ad
2026-04-14,23
2026-04-15,18
2026-04-16,29
2026-04-17,22
2026-04-18,21
2026-04-19,16
2026-04-20,20
2026-04-21,49
2026-04-22,71
2026-04-23,51
2026-04-24,68
2026-04-25,65
2026-04-26,72
2026-04-27,61
2026-04-28,45
2026-04-29,28
2026-04-30,48
2026-05-01,46
2026-05-02,39
2026-05-03,47
2026-05-04,27
2026-05-05,28
2026-05-06,20
2026-05-07,10
2026-05-08,42
2026-05-09,46
2026-05-10,65
2026-05-11,58
2026-05-12,73
2026-05-13,75
2026-05-14,81
2026-05-15,93
2026-05-16,66
2026-05-17,97
2026-05-18,65
2026-05-19,67
2026-05-20,55
2026-05-21,62
2026-05-22,52
2026-05-23,50
2026-05-24,51
2026-05-25,113
2026-05-26,118
2026-05-27,112
2026-05-28,132
2026-05-29,117
2026-05-30,108
2026-05-31,129
2026-06-01,84
2026-06-02,108
2026-06-03,116
2026-06-04,85
2026-06-05,32
2026-06-06,54
2026-06-07,54
2026-06-08,44
2026-06-09,81
2026-06-10,70
2026-06-11,175
2026-06-12,249
2026-06-13,294
2026-06-14,276
2026-06-15,232
2026-06-16,123
2026-06-17,173
2026-06-18,119
2026-06-19,80
2026-06-20,84
2026-06-21,110
2026-06-22,101
2026-06-23,108
2026-06-24,180
2026-06-25,506
2026-06-26,477
2026-06-27,457
2026-06-28,252
2026-06-29,139
2026-06-30,127
2026-07-01,225
2026-07-02,268
2026-07-03,216
2026-07-04,130
2026-07-05,133
2026-07-06,110
2026-07-07,132
2026-07-08,127
2026-07-09,486
2026-07-10,958
2026-07-11,728
2026-07-12,576
2026-07-13,764
2026-07-14,207
2026-07-15,117
2026-07-16,457
2026-07-17,586
2026-07-18,588
2026-07-19,541
2026-07-20,423
2026-07-21,405
2026-07-22,385
2026-07-23,295
2026-07-24,810
2026-07-25,646
2026-07-26,540
2026-07-27,443
2026-07-28,342
2026-07-29,383
2026-07-30,377
2026-07-31,319
2026-08-01,37
2026-08-02,25
2026-08-03,111
2026-08-04,110
2026-08-05,122
2026-08-06,136
2026-08-07,92
2026-08-08,126
2026-08-09,122
2026-08-10,116
2026-08-11,3465
2026-08-12,2319
2026-08-13,190
2026-08-17,109
2026-08-14,102
2026-08-15,120
2026-08-16,107
2026-08-18,95
2026-08-24,97
2026-08-25,78
