date,status,request_count,requested_points
2026-04-14,PENDING,11,32000
2026-04-15,PENDING,5,12000
2026-04-16,PENDING,4,14000
2026-04-16,REJECTED,1,3000
2026-04-17,PENDING,4,12000
2026-04-18,PENDING,1,3000
2026-04-19,PENDING,2,6000
2026-04-21,COMPLETED,3,13000
2026-04-22,PENDING,2,8000
2026-04-22,REJECTED,3,9000
2026-04-23,PENDING,1,3000
2026-04-25,PENDING,2,6000
2026-04-27,PENDING,2,6000
2026-04-28,PENDING,2,6000
2026-04-29,PENDING,5,19000
2026-04-30,PENDING,2,6000
2026-05-01,PENDING,7,21000
2026-05-02,PENDING,1,3000
2026-05-03,PENDING,3,9000
2026-05-04,PENDING,5,17000
2026-05-05,PENDING,3,9000
2026-05-06,PENDING,3,9000
2026-05-07,PENDING,3,9000
2026-05-08,PENDING,1,3000
2026-05-09,PENDING,2,6000
2026-05-10,PENDING,6,20000
2026-05-11,PENDING,8,24000
2026-05-12,COMPLETED,4,12000
2026-05-12,PENDING,3,9000
2026-05-13,PENDING,4,12000
2026-05-14,PENDING,5,15000
2026-05-15,PENDING,6,20000
2026-05-16,PENDING,3,9000
2026-05-17,PENDING,4,12000
2026-05-18,PENDING,4,12000
2026-05-19,PENDING,2,6000
2026-05-20,PENDING,6,18000
2026-05-21,PENDING,3,11000
2026-05-22,PENDING,3,9000
2026-05-23,PENDING,5,15000
2026-05-24,PENDING,1,3000
2026-05-25,PENDING,4,12000
2026-05-26,PENDING,5,15000
2026-05-27,PENDING,7,25000
2026-05-28,PENDING,2,6000
2026-05-29,PENDING,3,9000
2026-05-30,PENDING,2,8000
2026-05-31,PENDING,5,15000
2026-06-01,PENDING,9,29000
2026-06-02,PENDING,3,11000
2026-06-03,PENDING,6,20000
2026-06-04,PENDING,2,6000
2026-06-05,PENDING,4,16000
2026-06-06,PENDING,3,9000
2026-06-07,PENDING,7,21000
2026-06-08,PENDING,7,28000
2026-06-09,PENDING,3,9000
2026-06-10,PENDING,8,26000
2026-06-11,PENDING,6,20000
2026-06-12,PENDING,5,17000
2026-06-13,PENDING,6,18000
2026-06-14,PENDING,4,12000
2026-06-15,PENDING,2,6000
2026-06-16,PENDING,9,33000
2026-06-17,PENDING,4,14000
2026-06-18,PENDING,3,11000
2026-06-19,PENDING,11,37000
2026-06-20,PENDING,3,11000
2026-06-21,PENDING,6,20000
2026-06-22,PENDING,7,23000
2026-06-23,PENDING,7,21000
2026-06-24,PENDING,6,20000
2026-06-25,PENDING,2,6000
2026-06-26,PENDING,6,20000
2026-06-26,REJECTED,1,3000
2026-06-27,PENDING,3,11000
2026-06-28,PENDING,2,8000
2026-06-29,PENDING,7,32000
2026-06-30,PENDING,4,12000
2026-07-01,PENDING,7,23000
2026-07-02,PENDING,4,12000
2026-07-03,PENDING,10,43000
2026-07-04,PENDING,3,9000
2026-07-05,PENDING,6,20000
2026-07-06,PENDING,6,18000
2026-07-07,PENDING,2,6000
2026-07-08,PENDING,7,23000
2026-07-09,PENDING,6,22000
2026-07-09,REJECTED,1,3000
2026-07-10,PENDING,4,14000
2026-07-11,PENDING,3,9000
2026-07-12,PENDING,6,18000
2026-07-13,PENDING,4,12000
2026-07-14,PENDING,4,12000
2026-07-15,PENDING,5,17000
2026-07-16,PENDING,8,26000
2026-07-17,PENDING,3,9000
2026-07-18,PENDING,6,20000
2026-07-19,PENDING,10,39000
2026-07-20,PENDING,8,24000
2026-07-21,PENDING,3,9000
2026-07-22,PENDING,14,48000
2026-07-23,PENDING,11,40000
2026-07-24,PENDING,16,50000
2026-07-25,PENDING,5,17000
2026-07-26,PENDING,14,50000
2026-07-27,PENDING,6,20000
2026-07-28,PENDING,9,27000
2026-07-29,PENDING,11,37000
2026-07-29,REJECTED,1,3000
2026-07-30,PENDING,15,49000
2026-07-31,PENDING,19,61000
2026-08-01,PENDING,9,27000
2026-08-02,PENDING,12,38000
2026-08-03,PENDING,13,41000
2026-08-04,PENDING,2,6000
2026-08-04,COMPLETED,17,75000
2026-08-05,PENDING,12,43000
2026-08-06,PENDING,11,35000
2026-08-07,PENDING,16,55000
2026-08-08,PENDING,21,69000
2026-08-09,PENDING,20,68000
2026-08-10,PENDING,20,77000
2026-08-11,PENDING,16,54000
2026-08-12,PENDING,18,65000
2026-08-13,PENDING,21,67000
2026-08-17,PENDING,27,83000
2026-08-14,PENDING,13,41000
2026-08-15,PENDING,18,56000
2026-08-16,PENDING,21,67000
2026-08-18,PENDING,18,60000
2026-08-24,PENDING,23,79000
2026-08-25,PENDING,36,118000
